"","state_one","state_two","mask_mandates_overLap"
"833","MI","OK",19
"834","MI","OR",197
"835","MI","PA",256
"836","MI","RI",251
"837","MI","SC",19
"838","MI","SD",19
"839","MI","TN",19
"840","MI","TX",195
"841","MI","UT",98
"842","MI","VA",230
"843","MI","VT",166
"844","MI","WA",202
"845","MI","WI",166
"846","MI","WV",191
"847","MI","WY",19
"848","MN","MO",105
"849","MN","MS",191
"850","MN","MT",257
"851","MN","NC",238
"852","MN","ND",153
"853","MN","NE",105
"854","MN","NH",147
"855","MN","NJ",161
"856","MN","NM",196
"857","MN","NV",236
"858","MN","NY",168
"859","MN","OH",265
"860","MN","OK",105
"861","MN","OR",243
"862","MN","PA",170
"863","MN","RI",189
"864","MN","SC",105
"865","MN","SD",105
"866","MN","TN",105
"867","MN","TX",245
"868","MN","UT",184
"869","MN","VA",210
"870","MN","VT",258
"871","MN","WA",238
"872","MN","WI",258
"873","MN","WV",249
"874","MN","WY",105
"875","MO","MS",180
"876","MO","MT",96
"877","MO","NC",77
"878","MO","ND",218
"879","MO","NE",266
"880","MO","NH",224
"881","MO","NJ",0
"882","MO","NM",35
"883","MO","NV",75
"884","MO","NY",7
"885","MO","OH",104
"886","MO","OK",266
"887","MO","OR",82
"888","MO","PA",9
"889","MO","RI",28
"890","MO","SC",266
"891","MO","SD",266
"892","MO","TN",266
"893","MO","TX",84
"894","MO","UT",187
"895","MO","VA",49
"896","MO","VT",113
"897","MO","WA",77
"898","MO","WI",113
"899","MO","WV",88
"900","MO","WY",266
"901","MS","MT",182
"902","MS","NC",163
"903","MS","ND",192
"904","MS","NE",180
"905","MS","NH",198
"906","MS","NJ",86
"907","MS","NM",121
"908","MS","NV",161
"909","MS","NY",93
"910","MS","OH",190
"911","MS","OK",180
"912","MS","OR",168
"913","MS","PA",95
"914","MS","RI",114
"915","MS","SC",180
"916","MS","SD",180
"917","MS","TN",180
"918","MS","TX",170
"919","MS","UT",161
"920","MS","VA",135
"921","MS","VT",199
"922","MS","WA",163
"923","MS","WI",199
"924","MS","WV",174
"925","MS","WY",180
"926","MT","NC",247
"927","MT","ND",144
"928","MT","NE",96
"929","MT","NH",138
"930","MT","NJ",170
"931","MT","NM",205
"932","MT","NV",245
"933","MT","NY",177
"934","MT","OH",258
"935","MT","OK",96
"936","MT","OR",252
"937","MT","PA",179
"938","MT","RI",198
"939","MT","SC",96
"940","MT","SD",96
"941","MT","TN",96
"942","MT","TX",254
"943","MT","UT",175
"944","MT","VA",219
"945","MT","VT",249
"946","MT","WA",247
"947","MT","WI",249
"948","MT","WV",258
"949","MT","WY",96
"950","NC","ND",125
"951","NC","NE",77
"952","NC","NH",119
"953","NC","NJ",189
"954","NC","NM",224
"955","NC","NV",264
"956","NC","NY",196
"957","NC","OH",239
"958","NC","OK",77
"959","NC","OR",261
"960","NC","PA",198
"961","NC","RI",217
"962","NC","SC",77
"963","NC","SD",77
"964","NC","TN",77
"965","NC","TX",259
"966","NC","UT",156
"967","NC","VA",238
"968","NC","VT",230
"969","NC","WA",266
"970","NC","WI",230
"971","NC","WV",255
"972","NC","WY",77
"973","ND","NE",218
"974","ND","NH",260
"975","ND","NJ",48
"976","ND","NM",83
"977","ND","NV",123
"978","ND","NY",55
"979","ND","OH",152
"980","ND","OK",218
