"","state_one","state_two","stay_at_home_orders_overLap"
"557","ID","WI",247
"558","ID","WV",132
"559","ID","WY",166
"560","IL","IN",264
"561","IL","KS",41
"562","IL","KY",223
"563","IL","LA",276
"564","IL","MA",167
"565","IL","MD",50
"566","IL","ME",269
"567","IL","MI",64
"568","IL","MN",274
"569","IL","MO",52
"570","IL","MS",154
"571","IL","MT",210
"572","IL","NC",276
"573","IL","ND",6
"574","IL","NE",6
"575","IL","NH",275
"576","IL","NJ",75
"577","IL","NM",218
"578","IL","NV",262
"579","IL","NY",6
"580","IL","OH",276
"581","IL","OK",162
"582","IL","OR",247
"583","IL","PA",82
"584","IL","RI",265
"585","IL","SC",98
"586","IL","SD",9
"587","IL","TN",155
"588","IL","TX",223
"589","IL","UT",6
"590","IL","VA",52
"591","IL","VT",275
"592","IL","WA",269
"593","IL","WI",107
"594","IL","WV",264
"595","IL","WY",6
"596","IN","KS",66
"597","IN","KY",251
"598","IN","LA",280
"599","IN","MA",195
"600","IN","MD",44
"601","IN","ME",269
"602","IN","MI",50
"603","IN","MN",276
"604","IN","MO",80
"605","IN","MS",182
"606","IN","MT",238
"607","IN","NC",268
"608","IN","ND",9
"609","IN","NE",9
"610","IN","NH",275
"611","IN","NJ",47
"612","IN","NM",243
"613","IN","NV",280
"614","IN","NY",7
"615","IN","OH",280
"616","IN","OK",165
"617","IN","OR",251
"618","IN","PA",81
"619","IN","RI",283
"620","IN","SC",126
"621","IN","SD",36
"622","IN","TN",183
"623","IN","TX",251
"624","IN","UT",9
"625","IN","VA",44
"626","IN","VT",281
"627","IN","WA",272
"628","IN","WI",101
"629","IN","WV",292
"630","IN","WY",9
"631","KS","KY",32
"632","KS","LA",54
"633","KS","MA",87
"634","KS","MD",270
"635","KS","ME",55
"636","KS","MI",258
"637","KS","MN",56
"638","KS","MO",264
"639","KS","MS",154
"640","KS","MT",104
"641","KS","NC",54
"642","KS","ND",235
"643","KS","NE",235
"644","KS","NH",55
"645","KS","NJ",247
"646","KS","NM",23
"647","KS","NV",66
"648","KS","NY",7
"649","KS","OH",54
"650","KS","OK",69
"651","KS","OR",83
"652","KS","PA",229
"653","KS","RI",65
"654","KS","SC",216
"655","KS","SD",244
"656","KS","TN",155
"657","KS","TX",37
"658","KS","UT",232
"659","KS","VA",270
"660","KS","VT",55
"661","KS","WA",46
"662","KS","WI",213
"663","KS","WV",66
"664","KS","WY",235
"665","KY","LA",239
"666","KY","MA",235
"667","KY","MD",10
"668","KY","ME",238
"669","KY","MI",9
"670","KY","MN",239
"671","KY","MO",53
"672","KY","MS",166
"673","KY","MT",218
"674","KY","NC",234
"675","KY","ND",10
"676","KY","NE",10
"677","KY","NH",238
"678","KY","NJ",6
"679","KY","NM",283
"680","KY","NV",247
"681","KY","NY",7
"682","KY","OH",239
"683","KY","OK",165
"684","KY","OR",210
"685","KY","PA",49
"686","KY","RI",247
"687","KY","SC",100
"688","KY","SD",76
"689","KY","TN",168
"690","KY","TX",284
"691","KY","UT",45
"692","KY","VA",10
"693","KY","VT",240
"694","KY","WA",231
"695","KY","WI",62
"696","KY","WV",251
"697","KY","WY",10
"698","LA","MA",183
"699","LA","MD",52
"700","LA","ME",279
"701","LA","MI",60
"702","LA","MN",286
"703","LA","MO",68
"704","LA","MS",170
"705","LA","MT",226
"706","LA","NC",278
"707","LA","ND",8
"708","LA","NE",8
"709","LA","NH",285
"710","LA","NJ",59
"711","LA","NM",232
"712","LA","NV",278
"713","LA","NY",7
"714","LA","OH",292
"715","LA","OK",164
"716","LA","OR",263
"717","LA","PA",84
"718","LA","RI",281
"719","LA","SC",114
"720","LA","SD",25
"721","LA","TN",171
"722","LA","TX",239
"723","LA","UT",8
"724","LA","VA",54
"725","LA","VT",291
"726","LA","WA",277
"727","LA","WI",109
"728","LA","WV",280
"729","LA","WY",8
"730","MA","MD",65
"731","MA","ME",181
"732","MA","MI",65
"733","MA","MN",182
"734","MA","MO",108
"735","MA","MS",221
"736","MA","MT",245
"737","MA","NC",177
"738","MA","ND",65
"739","MA","NE",65
"740","MA","NH",181
"741","MA","NJ",62
"742","MA","NM",228
"743","MA","NV",190
"744","MA","NY",7
"745","MA","OH",183
"746","MA","OK",109
"747","MA","OR",212
"748","MA","PA",26
"749","MA","RI",190
"750","MA","SC",155
"751","MA","SD",133
"752","MA","TN",223
"753","MA","TX",227
"754","MA","UT",100
"755","MA","VA",65
"756","MA","VT",184
"757","MA","WA",175
"758","MA","WI",13
"759","MA","WV",195
"760","MA","WY",65
"761","MD","ME",56
"762","MD","MI",267
"763","MD","MN",56
"764","MD","MO",242
"765","MD","MS",132
"766","MD","MT",82
"767","MD","NC",59
"768","MD","ND",248
"769","MD","NE",248
"770","MD","NH",56
"771","MD","NJ",256
"772","MD","NM",1
"773","MD","NV",54
"774","MD","NY",7
"775","MD","OH",52
"776","MD","OK",69
"777","MD","OR",81
"778","MD","PA",244
"779","MD","RI",53
"780","MD","SC",194
"781","MD","SD",222
"782","MD","TN",133
"783","MD","TX",15
"784","MD","UT",245
"785","MD","VA",290
"786","MD","VT",53
"787","MD","WA",47
"788","MD","WI",235
"789","MD","WV",44
"790","MD","WY",248
"791","ME","MI",55
"792","ME","MN",285
"793","ME","MO",75
"794","ME","MS",177
"795","ME","MT",223
"796","ME","NC",285
"797","ME","ND",18
"798","ME","NE",18
"799","ME","NH",286
"800","ME","NJ",52
"801","ME","NM",229
"802","ME","NV",281
"803","ME","NY",7
"804","ME","OH",279
"805","ME","OK",165
"806","ME","OR",250
"807","ME","PA",92
"808","ME","RI",278
"809","ME","SC",121
"810","ME","SD",22
"811","ME","TN",176
"812","ME","TX",246
"813","ME","UT",12
"814","ME","VA",58
"815","ME","VT",280
"816","ME","WA",267
"817","ME","WI",103
"818","ME","WV",269
"819","ME","WY",18
"820","MI","MN",60
"821","MI","MO",236
"822","MI","MS",126
"823","MI","MT",80
"824","MI","NC",61
"825","MI","ND",223
"826","MI","NE",223
"827","MI","NH",61
"828","MI","NJ",270
"829","MI","NM",1
"830","MI","NV",48
"831","MI","NY",18
"832","MI","OH",60
"833","MI","OK",78
"834","MI","OR",89
"835","MI","PA",221
"836","MI","RI",51
"837","MI","SC",188
"838","MI","SD",222
"839","MI","TN",127
"840","MI","TX",9
"841","MI","UT",223
"842","MI","VA",269
"843","MI","VT",61
"844","MI","WA",55
"845","MI","WI",220
"846","MI","WV",50
"847","MI","WY",223
"848","MN","MO",70
"849","MN","MS",172
"850","MN","MT",228
"851","MN","NC",284
"852","MN","ND",12
"853","MN","NE",12
"854","MN","NH",291
"855","MN","NJ",57
"856","MN","NM",230
"857","MN","NV",280
"858","MN","NY",7
"859","MN","OH",286
"860","MN","OK",165
"861","MN","OR",257
"862","MN","PA",88
"863","MN","RI",283
"864","MN","SC",116
"865","MN","SD",23
"866","MN","TN",173
"867","MN","TX",241
"868","MN","UT",12
"869","MN","VA",58
"870","MN","VT",287
"871","MN","WA",273
"872","MN","WI",109
"873","MN","WV",276
"874","MN","WY",12
"875","MO","MS",176
"876","MO","MT",118
"877","MO","NC",68
"878","MO","ND",221
"879","MO","NE",221
"880","MO","NH",69
"881","MO","NJ",233
"882","MO","NM",44
"883","MO","NV",82
"884","MO","NY",7
"885","MO","OH",68
"886","MO","OK",86
"887","MO","OR",97
"888","MO","PA",205
"889","MO","RI",79
"890","MO","SC",244
"891","MO","SD",235
"892","MO","TN",173
"893","MO","TX",61
"894","MO","UT",211
"895","MO","VA",242
"896","MO","VT",69
"897","MO","WA",60
"898","MO","WI",185
"899","MO","WV",80
"900","MO","WY",221
"901","MS","MT",234
"902","MS","NC",170
"903","MS","ND",112
"904","MS","NE",112
"905","MS","NH",171
"906","MS","NJ",123
"907","MS","NM",157
"908","MS","NV",184
"909","MS","NY",7
"910","MS","OH",170
"911","MS","OK",72
"912","MS","OR",199
"913","MS","PA",95
"914","MS","RI",181
"915","MS","SC",222
"916","MS","SD",136
"917","MS","TN",289
"918","MS","TX",174
"919","MS","UT",109
"920","MS","VA",132
"921","MS","VT",171
"922","MS","WA",162
"923","MS","WI",75
"924","MS","WV",182
"925","MS","WY",112
"926","MT","NC",222
"927","MT","ND",55
"928","MT","NE",55
"929","MT","NH",227
"930","MT","NJ",77
"931","MT","NM",209
"932","MT","NV",234
"933","MT","NY",7
"934","MT","OH",226
"935","MT","OK",123
"936","MT","OR",255
"937","MT","PA",41
"938","MT","RI",237
"939","MT","SC",164
"940","MT","SD",86
"941","MT","TN",235
"942","MT","TX",221
"943","MT","UT",59
"944","MT","VA",82
"945","MT","VT",227
"946","MT","WA",218
"947","MT","WI",49
"948","MT","WV",238
"949","MT","WY",55
"950","NC","ND",15
"951","NC","NE",15
"952","NC","NH",285
"953","NC","NJ",59
"954","NC","NM",225
"955","NC","NV",278
"956","NC","NY",7
"957","NC","OH",278
"958","NC","OK",165
"959","NC","OR",249
"960","NC","PA",91
"961","NC","RI",277
"962","NC","SC",114
"963","NC","SD",18
"964","NC","TN",171
"965","NC","TX",239
"966","NC","UT",12
"967","NC","VA",61
"968","NC","VT",279
"969","NC","WA",270
"970","NC","WI",106
"971","NC","WV",268
"972","NC","WY",15
"973","ND","NE",292
"974","ND","NH",12
"975","ND","NJ",212
"976","ND","NM",1
"977","ND","NV",16
"978","ND","NY",7
"979","ND","OH",8
"980","ND","OK",69
"981","ND","OR",37
"982","ND","PA",209
"983","ND","RI",13
"984","ND","SC",175
"985","ND","SD",222
"986","ND","TN",109
"987","ND","TX",18
"988","ND","UT",257
"989","ND","VA",246
"990","ND","VT",9
"991","ND","WA",8
"992","ND","WI",191
"993","ND","WV",9
"994","ND","WY",292
"995","NE","NH",12
"996","NE","NJ",212
"997","NE","NM",1
"998","NE","NV",16
"999","NE","NY",7
"1000","NE","OH",8
"1001","NE","OK",69
"1002","NE","OR",37
"1003","NE","PA",209
"1004","NE","RI",13
"1005","NE","SC",175
"1006","NE","SD",222
"1007","NE","TN",109
"1008","NE","TX",18
"1009","NE","UT",257
"1010","NE","VA",246
"1011","NE","VT",9
"1012","NE","WA",8
"1013","NE","WI",191
"1014","NE","WV",9
"1015","NE","WY",292
"1016","NH","NJ",58
"1017","NH","NM",229
