"","from","to","bars_overLap","width","title"
"191","CA","CO",100,1,"100 days shared in 2020"
"192","CA","CT",1,0.01,"1 days shared in 2020"
"193","CA","DE",96,0.96,"96 days shared in 2020"
"194","CA","FL",156,1.56,"156 days shared in 2020"
"195","CA","GA",35,0.35,"35 days shared in 2020"
"196","CA","HI",29,0.29,"29 days shared in 2020"
"197","CA","IA",103,1.03,"103 days shared in 2020"
"198","CA","ID",35,0.35,"35 days shared in 2020"
"199","CA","IL",103,1.03,"103 days shared in 2020"
"200","CA","IN",117,1.17,"117 days shared in 2020"
"201","CA","KS",59,0.59,"59 days shared in 2020"
"202","CA","KY",100,1,"100 days shared in 2020"
"203","CA","LA",135,1.35,"135 days shared in 2020"
"204","CA","MA",4,0.04,"4 days shared in 2020"
"205","CA","MD",108,1.08,"108 days shared in 2020"
"206","CA","ME",119,1.19,"119 days shared in 2020"
"207","CA","MI",113,1.13,"113 days shared in 2020"
"208","CA","MN",61,0.61,"61 days shared in 2020"
"209","CA","MO",50,0.5,"50 days shared in 2020"
"210","CA","MS",97,0.97,"97 days shared in 2020"
"211","CA","MT",80,0.8,"80 days shared in 2020"
"212","CA","NC",2,0.02,"2 days shared in 2020"
"213","CA","ND",46,0.46,"46 days shared in 2020"
"214","CA","NE",96,0.96,"96 days shared in 2020"
"215","CA","NH",114,1.14,"114 days shared in 2020"
"216","CA","NJ",115,1.15,"115 days shared in 2020"
"217","CA","NM",103,1.03,"103 days shared in 2020"
"218","CA","NV",61,0.61,"61 days shared in 2020"
"219","CA","NY",111,1.11,"111 days shared in 2020"
"220","CA","OH",88,0.88,"88 days shared in 2020"
"221","CA","OK",86,0.86,"86 days shared in 2020"
"222","CA","OR",105,1.05,"105 days shared in 2020"
"223","CA","PA",282,2.82,"282 days shared in 2020"
"224","CA","RI",84,0.84,"84 days shared in 2020"
"225","CA","SC",80,0.8,"80 days shared in 2020"
"226","CA","SD",4,0.04,"4 days shared in 2020"
"227","CA","TN",95,0.95,"95 days shared in 2020"
"228","CA","TX",174,1.74,"174 days shared in 2020"
"229","CA","UT",77,0.77,"77 days shared in 2020"
"230","CA","VA",87,0.87,"87 days shared in 2020"
"231","CA","VT",145,1.45,"145 days shared in 2020"
"232","CA","WA",32,0.32,"32 days shared in 2020"
"233","CA","WI",55,0.55,"55 days shared in 2020"
"234","CA","WV",39,0.39,"39 days shared in 2020"
"235","CA","WY",92,0.92,"92 days shared in 2020"
"236","CO","CT",185,1.85,"185 days shared in 2020"
"237","CO","DE",80,0.8,"80 days shared in 2020"
"238","CO","FL",87,0.87,"87 days shared in 2020"
"239","CO","GA",15,0.15,"15 days shared in 2020"
"240","CO","HI",15,0.15,"15 days shared in 2020"
"241","CO","IA",87,0.87,"87 days shared in 2020"
"242","CO","ID",15,0.15,"15 days shared in 2020"
"243","CO","IL",87,0.87,"87 days shared in 2020"
"244","CO","IN",101,1.01,"101 days shared in 2020"
"245","CO","KS",59,0.59,"59 days shared in 2020"
"246","CO","KY",110,1.1,"110 days shared in 2020"
"247","CO","LA",15,0.15,"15 days shared in 2020"
"248","CO","MA",186,1.86,"186 days shared in 2020"
"249","CO","MD",92,0.92,"92 days shared in 2020"
"250","CO","ME",101,1.01,"101 days shared in 2020"
"251","CO","MI",97,0.97,"97 days shared in 2020"
"252","CO","MN",15,0.15,"15 days shared in 2020"
"253","CO","MO",44,0.44,"44 days shared in 2020"
"254","CO","MS",77,0.77,"77 days shared in 2020"
"255","CO","MT",60,0.6,"60 days shared in 2020"
"256","CO","NC",95,0.95,"95 days shared in 2020"
"257","CO","ND",44,0.44,"44 days shared in 2020"
"258","CO","NE",76,0.76,"76 days shared in 2020"
"259","CO","NH",104,1.04,"104 days shared in 2020"
"260","CO","NJ",101,1.01,"101 days shared in 2020"
"261","CO","NM",247,2.47,"247 days shared in 2020"
"262","CO","NV",35,0.35,"35 days shared in 2020"
"263","CO","NY",95,0.95,"95 days shared in 2020"
"264","CO","OH",72,0.72,"72 days shared in 2020"
"265","CO","OK",66,0.66,"66 days shared in 2020"
"266","CO","OR",74,0.74,"74 days shared in 2020"
"267","CO","PA",93,0.93,"93 days shared in 2020"
"268","CO","RI",68,0.68,"68 days shared in 2020"
"269","CO","SC",62,0.62,"62 days shared in 2020"
"270","CO","SD",2,0.02,"2 days shared in 2020"
"271","CO","TN",75,0.75,"75 days shared in 2020"
"272","CO","TX",73,0.73,"73 days shared in 2020"
"273","CO","UT",59,0.59,"59 days shared in 2020"
"274","CO","VA",67,0.67,"67 days shared in 2020"
"275","CO","VT",80,0.8,"80 days shared in 2020"
"276","CO","WA",14,0.14,"14 days shared in 2020"
"277","CO","WI",55,0.55,"55 days shared in 2020"
"278","CO","WV",21,0.21,"21 days shared in 2020"
"279","CO","WY",72,0.72,"72 days shared in 2020"
"280","CT","DE",1,0.01,"1 days shared in 2020"
"281","CT","FL",4,0.04,"4 days shared in 2020"
"282","CT","GA",70,0.7,"70 days shared in 2020"
"283","CT","HI",92,0.92,"92 days shared in 2020"
"284","CT","IA",1,0.01,"1 days shared in 2020"
"285","CT","ID",67,0.67,"67 days shared in 2020"
"286","CT","IL",1,0.01,"1 days shared in 2020"
