"","state_one","state_two","gathering_bans_overLap"
"482","HI","WI",16
"483","HI","WV",94
"484","HI","WY",83
"485","IA","ID",151
"486","IA","IL",65
"487","IA","IN",17
"488","IA","KS",193
"489","IA","KY",50
"490","IA","LA",70
"491","IA","MA",62
"492","IA","MD",190
"493","IA","ME",67
"494","IA","MI",16
"495","IA","MN",73
"496","IA","MO",181
"497","IA","MS",103
"498","IA","MT",177
"499","IA","NC",82
"500","IA","ND",159
"501","IA","NE",126
"502","IA","NH",194
"503","IA","NJ",55
"504","IA","NM",112
"505","IA","NV",33
"506","IA","NY",11
"507","IA","OH",108
"508","IA","OK",172
"509","IA","OR",16
"510","IA","PA",61
"511","IA","RI",89
"512","IA","SC",85
"513","IA","SD",159
"514","IA","TN",211
"515","IA","TX",100
"516","IA","UT",27
"517","IA","VA",106
"518","IA","VT",36
"519","IA","WA",43
"520","IA","WI",141
"521","IA","WV",64
"522","IA","WY",82
"523","ID","IL",44
"524","ID","IN",104
"525","ID","KS",160
"526","ID","KY",45
"527","ID","LA",44
"528","ID","MA",68
"529","ID","MD",141
"530","ID","ME",7
"531","ID","MI",108
"532","ID","MN",68
"533","ID","MO",188
"534","ID","MS",14
"535","ID","MT",222
"536","ID","NC",3
"537","ID","ND",193
"538","ID","NE",51
"539","ID","NH",145
"540","ID","NJ",71
"541","ID","NM",5
"542","ID","NV",110
"543","ID","NY",38
"544","ID","OH",1
"545","ID","OK",192
"546","ID","OR",75
"547","ID","PA",44
"548","ID","RI",54
"549","ID","SC",108
"550","ID","SD",193
"551","ID","TN",170
"552","ID","TX",76
"553","ID","UT",48
"554","ID","VA",4
"555","ID","VT",50
"556","ID","WA",84
"557","ID","WI",200
"558","ID","WV",13
"559","ID","WY",9
"560","IL","IN",57
"561","IL","KS",63
"562","IL","KY",58
"563","IL","LA",120
"564","IL","MA",142
"565","IL","MD",87
"566","IL","ME",183
"567","IL","MI",87
"568","IL","MN",88
"569","IL","MO",44
"570","IL","MS",83
"571","IL","MT",6
"572","IL","NC",102
"573","IL","ND",2
"574","IL","NE",88
"575","IL","NH",87
"576","IL","NJ",109
"577","IL","NM",99
"578","IL","NV",168
"579","IL","NY",159
"580","IL","OH",99
"581","IL","OK",33
"582","IL","OR",18
"583","IL","PA",21
"584","IL","RI",115
"585","IL","SC",2
"586","IL","SD",2
"587","IL","TN",62
"588","IL","TX",2
"589","IL","UT",112
"590","IL","VA",84
"591","IL","VT",108
"592","IL","WA",81
"593","IL","WI",2
"594","IL","WV",62
"595","IL","WY",185
"596","IN","KS",18
"597","IN","KY",54
"598","IN","LA",15
"599","IN","MA",158
"600","IN","MD",15
"601","IN","ME",20
"602","IN","MI",198
"603","IN","MN",55
"604","IN","MO",25
"605","IN","MS",71
"606","IN","MT",38
"607","IN","NC",10
"608","IN","ND",13
"609","IN","NE",18
"610","IN","NH",25
"611","IN","NJ",242
"612","IN","NM",18
"613","IN","NV",145
"614","IN","NY",47
"615","IN","OH",14
"616","IN","OK",26
"617","IN","OR",242
"618","IN","PA",51
"619","IN","RI",67
"620","IN","SC",13
"621","IN","SD",13
"622","IN","TN",25
"623","IN","TX",13
"624","IN","UT",34
"625","IN","VA",17
"626","IN","VT",89
"627","IN","WA",94
"628","IN","WI",43
"629","IN","WV",26
"630","IN","WY",22
"631","KS","KY",25
"632","KS","LA",84
"633","KS","MA",60
"634","KS","MD",267
"635","KS","ME",64
"636","KS","MI",13
"637","KS","MN",15
"638","KS","MO",266
"639","KS","MS",58
"640","KS","MT",187
"641","KS","NC",56
"642","KS","ND",226
"643","KS","NE",102
"644","KS","NH",263
"645","KS","NJ",67
"646","KS","NM",63
"647","KS","NV",25
"648","KS","NY",7
"649","KS","OH",65
"650","KS","OK",256
"651","KS","OR",1
"652","KS","PA",10
"653","KS","RI",64
"654","KS","SC",75
"655","KS","SD",226
"656","KS","TN",272
"657","KS","TX",43
"658","KS","UT",78
"659","KS","VA",62
"660","KS","VT",47
"661","KS","WA",2
"662","KS","WI",216
"663","KS","WV",50
"664","KS","WY",61
"665","KY","LA",9
"666","KY","MA",40
"667","KY","MD",40
"668","KY","ME",38
"669","KY","MI",109
"670","KY","MN",169
"671","KY","MO",27
"672","KY","MS",52
"673","KY","MT",38
