"","from","to","stay_at_home_orders_overLap","width","title"
"160","AZ","MD",286,2.86,"286 days shared in 2020"
"161","AZ","ME",55,0.55,"55 days shared in 2020"
"162","AZ","MI",264,2.64,"264 days shared in 2020"
"163","AZ","MN",53,0.53,"53 days shared in 2020"
"164","AZ","MO",248,2.48,"248 days shared in 2020"
"165","AZ","MS",138,1.38,"138 days shared in 2020"
"166","AZ","MT",86,0.86,"86 days shared in 2020"
"167","AZ","NC",56,0.56,"56 days shared in 2020"
"168","AZ","ND",246,2.46,"246 days shared in 2020"
"169","AZ","NE",246,2.46,"246 days shared in 2020"
"170","AZ","NH",53,0.53,"53 days shared in 2020"
"171","AZ","NJ",253,2.53,"253 days shared in 2020"
"172","AZ","NM",6,0.06,"6 days shared in 2020"
"173","AZ","NV",60,0.6,"60 days shared in 2020"
"174","AZ","NY",7,0.07,"7 days shared in 2020"
"175","AZ","OH",50,0.5,"50 days shared in 2020"
"176","AZ","OK",69,0.69,"69 days shared in 2020"
"177","AZ","OR",79,0.79,"79 days shared in 2020"
"178","AZ","PA",244,2.44,"244 days shared in 2020"
"179","AZ","RI",57,0.57,"57 days shared in 2020"
"180","AZ","SC",200,2,"200 days shared in 2020"
"181","AZ","SD",227,2.27,"227 days shared in 2020"
"182","AZ","TN",139,1.39,"139 days shared in 2020"
"183","AZ","TX",21,0.21,"21 days shared in 2020"
"184","AZ","UT",242,2.42,"242 days shared in 2020"
"185","AZ","VA",286,2.86,"286 days shared in 2020"
"186","AZ","VT",51,0.51,"51 days shared in 2020"
"187","AZ","WA",46,0.46,"46 days shared in 2020"
"188","AZ","WI",229,2.29,"229 days shared in 2020"
"189","AZ","WV",48,0.48,"48 days shared in 2020"
"190","AZ","WY",246,2.46,"246 days shared in 2020"
"191","CA","CO",236,2.36,"236 days shared in 2020"
"192","CA","CT",8,0.08,"8 days shared in 2020"
"193","CA","DE",162,1.62,"162 days shared in 2020"
"194","CA","FL",167,1.67,"167 days shared in 2020"
"195","CA","GA",58,0.58,"58 days shared in 2020"
"196","CA","HI",240,2.4,"240 days shared in 2020"
