"","from","to","mask_mandates_overLap","width","title"
"1031","NH","VT",155,1.55,"155 days shared in 2020"
"1032","NH","WA",119,1.19,"119 days shared in 2020"
"1033","NH","WI",155,1.55,"155 days shared in 2020"
"1034","NH","WV",130,1.3,"130 days shared in 2020"
"1035","NH","WY",224,2.24,"224 days shared in 2020"
"1036","NJ","NM",231,2.31,"231 days shared in 2020"
"1037","NJ","NV",191,1.91,"191 days shared in 2020"
"1038","NJ","NY",259,2.59,"259 days shared in 2020"
"1039","NJ","OH",162,1.62,"162 days shared in 2020"
"1040","NJ","OK",0,0,"0 days shared in 2020"
"1041","NJ","OR",184,1.84,"184 days shared in 2020"
"1042","NJ","PA",257,2.57,"257 days shared in 2020"
"1043","NJ","RI",238,2.38,"238 days shared in 2020"
"1044","NJ","SC",0,0,"0 days shared in 2020"
"1045","NJ","SD",0,0,"0 days shared in 2020"
"1046","NJ","TN",0,0,"0 days shared in 2020"
"1047","NJ","TX",182,1.82,"182 days shared in 2020"
"1048","NJ","UT",79,0.79,"79 days shared in 2020"
"1049","NJ","VA",217,2.17,"217 days shared in 2020"
"1050","NJ","VT",153,1.53,"153 days shared in 2020"
"1051","NJ","WA",189,1.89,"189 days shared in 2020"
"1052","NJ","WI",153,1.53,"153 days shared in 2020"
"1053","NJ","WV",178,1.78,"178 days shared in 2020"
"1054","NJ","WY",0,0,"0 days shared in 2020"
"1055","NM","NV",226,2.26,"226 days shared in 2020"
"1056","NM","NY",238,2.38,"238 days shared in 2020"
"1057","NM","OH",197,1.97,"197 days shared in 2020"
"1058","NM","OK",35,0.35,"35 days shared in 2020"
"1059","NM","OR",219,2.19,"219 days shared in 2020"
"1060","NM","PA",240,2.4,"240 days shared in 2020"
"1061","NM","RI",259,2.59,"259 days shared in 2020"
"1062","NM","SC",35,0.35,"35 days shared in 2020"
"1063","NM","SD",35,0.35,"35 days shared in 2020"
"1064","NM","TN",35,0.35,"35 days shared in 2020"
"1065","NM","TX",217,2.17,"217 days shared in 2020"
"1066","NM","UT",114,1.14,"114 days shared in 2020"
"1067","NM","VA",252,2.52,"252 days shared in 2020"
"1068","NM","VT",188,1.88,"188 days shared in 2020"
"1069","NM","WA",224,2.24,"224 days shared in 2020"
"1070","NM","WI",188,1.88,"188 days shared in 2020"
"1071","NM","WV",213,2.13,"213 days shared in 2020"
"1072","NM","WY",35,0.35,"35 days shared in 2020"
"1073","NV","NY",198,1.98,"198 days shared in 2020"
"1074","NV","OH",237,2.37,"237 days shared in 2020"
"1075","NV","OK",75,0.75,"75 days shared in 2020"
"1076","NV","OR",259,2.59,"259 days shared in 2020"
"1077","NV","PA",200,2,"200 days shared in 2020"
"1078","NV","RI",219,2.19,"219 days shared in 2020"
"1079","NV","SC",75,0.75,"75 days shared in 2020"
"1080","NV","SD",75,0.75,"75 days shared in 2020"
"1081","NV","TN",75,0.75,"75 days shared in 2020"
"1082","NV","TX",257,2.57,"257 days shared in 2020"
"1083","NV","UT",154,1.54,"154 days shared in 2020"
"1084","NV","VA",240,2.4,"240 days shared in 2020"
"1085","NV","VT",228,2.28,"228 days shared in 2020"
"1086","NV","WA",264,2.64,"264 days shared in 2020"
"1087","NV","WI",228,2.28,"228 days shared in 2020"
"1088","NV","WV",253,2.53,"253 days shared in 2020"
"1089","NV","WY",75,0.75,"75 days shared in 2020"
"1090","NY","OH",169,1.69,"169 days shared in 2020"
"1091","NY","OK",7,0.07,"7 days shared in 2020"
"1092","NY","OR",191,1.91,"191 days shared in 2020"
"1093","NY","PA",264,2.64,"264 days shared in 2020"
"1094","NY","RI",245,2.45,"245 days shared in 2020"
"1095","NY","SC",7,0.07,"7 days shared in 2020"
"1096","NY","SD",7,0.07,"7 days shared in 2020"
"1097","NY","TN",7,0.07,"7 days shared in 2020"
"1098","NY","TX",189,1.89,"189 days shared in 2020"
"1099","NY","UT",86,0.86,"86 days shared in 2020"
"1100","NY","VA",224,2.24,"224 days shared in 2020"
"1101","NY","VT",160,1.6,"160 days shared in 2020"
"1102","NY","WA",196,1.96,"196 days shared in 2020"
"1103","NY","WI",160,1.6,"160 days shared in 2020"
"1104","NY","WV",185,1.85,"185 days shared in 2020"
"1105","NY","WY",7,0.07,"7 days shared in 2020"
"1106","OH","OK",104,1.04,"104 days shared in 2020"
"1107","OH","OR",244,2.44,"244 days shared in 2020"
"1108","OH","PA",171,1.71,"171 days shared in 2020"
"1109","OH","RI",190,1.9,"190 days shared in 2020"
"1110","OH","SC",104,1.04,"104 days shared in 2020"
"1111","OH","SD",104,1.04,"104 days shared in 2020"
"1112","OH","TN",104,1.04,"104 days shared in 2020"
"1113","OH","TX",246,2.46,"246 days shared in 2020"
"1114","OH","UT",183,1.83,"183 days shared in 2020"
"1115","OH","VA",211,2.11,"211 days shared in 2020"
"1116","OH","VT",257,2.57,"257 days shared in 2020"
"1117","OH","WA",239,2.39,"239 days shared in 2020"
"1118","OH","WI",257,2.57,"257 days shared in 2020"
"1119","OH","WV",250,2.5,"250 days shared in 2020"
"1120","OH","WY",104,1.04,"104 days shared in 2020"
"1121","OK","OR",82,0.82,"82 days shared in 2020"
"1122","OK","PA",9,0.09,"9 days shared in 2020"
"1123","OK","RI",28,0.28,"28 days shared in 2020"
"1124","OK","SC",266,2.66,"266 days shared in 2020"
"1125","OK","SD",266,2.66,"266 days shared in 2020"
"1126","OK","TN",266,2.66,"266 days shared in 2020"
"1127","OK","TX",84,0.84,"84 days shared in 2020"
"1128","OK","UT",187,1.87,"187 days shared in 2020"
"1129","OK","VA",49,0.49,"49 days shared in 2020"
"1130","OK","VT",113,1.13,"113 days shared in 2020"
"1131","OK","WA",77,0.77,"77 days shared in 2020"
"1132","OK","WI",113,1.13,"113 days shared in 2020"
"1133","OK","WV",88,0.88,"88 days shared in 2020"
"1134","OK","WY",266,2.66,"266 days shared in 2020"
"1135","OR","PA",193,1.93,"193 days shared in 2020"
"1136","OR","RI",212,2.12,"212 days shared in 2020"
"1137","OR","SC",82,0.82,"82 days shared in 2020"
"1138","OR","SD",82,0.82,"82 days shared in 2020"
"1139","OR","TN",82,0.82,"82 days shared in 2020"
"1140","OR","TX",264,2.64,"264 days shared in 2020"
"1141","OR","UT",161,1.61,"161 days shared in 2020"
"1142","OR","VA",233,2.33,"233 days shared in 2020"
"1143","OR","VT",235,2.35,"235 days shared in 2020"
"1144","OR","WA",261,2.61,"261 days shared in 2020"
"1145","OR","WI",235,2.35,"235 days shared in 2020"
"1146","OR","WV",260,2.6,"260 days shared in 2020"
"1147","OR","WY",82,0.82,"82 days shared in 2020"
"1148","PA","RI",247,2.47,"247 days shared in 2020"
"1149","PA","SC",9,0.09,"9 days shared in 2020"
"1150","PA","SD",9,0.09,"9 days shared in 2020"
"1151","PA","TN",9,0.09,"9 days shared in 2020"
"1152","PA","TX",191,1.91,"191 days shared in 2020"
"1153","PA","UT",88,0.88,"88 days shared in 2020"
"1154","PA","VA",226,2.26,"226 days shared in 2020"
"1155","PA","VT",162,1.62,"162 days shared in 2020"
"1156","PA","WA",198,1.98,"198 days shared in 2020"
"1157","PA","WI",162,1.62,"162 days shared in 2020"
"1158","PA","WV",187,1.87,"187 days shared in 2020"
"1159","PA","WY",9,0.09,"9 days shared in 2020"
"1160","RI","SC",28,0.28,"28 days shared in 2020"
"1161","RI","SD",28,0.28,"28 days shared in 2020"
"1162","RI","TN",28,0.28,"28 days shared in 2020"
"1163","RI","TX",210,2.1,"210 days shared in 2020"
"1164","RI","UT",107,1.07,"107 days shared in 2020"
"1165","RI","VA",245,2.45,"245 days shared in 2020"
"1166","RI","VT",181,1.81,"181 days shared in 2020"
"1167","RI","WA",217,2.17,"217 days shared in 2020"
"1168","RI","WI",181,1.81,"181 days shared in 2020"
"1169","RI","WV",206,2.06,"206 days shared in 2020"
"1170","RI","WY",28,0.28,"28 days shared in 2020"
"1171","SC","SD",266,2.66,"266 days shared in 2020"
"1172","SC","TN",266,2.66,"266 days shared in 2020"
"1173","SC","TX",84,0.84,"84 days shared in 2020"
"1174","SC","UT",187,1.87,"187 days shared in 2020"
"1175","SC","VA",49,0.49,"49 days shared in 2020"
"1176","SC","VT",113,1.13,"113 days shared in 2020"
"1177","SC","WA",77,0.77,"77 days shared in 2020"
"1178","SC","WI",113,1.13,"113 days shared in 2020"
"1179","SC","WV",88,0.88,"88 days shared in 2020"
"1180","SC","WY",266,2.66,"266 days shared in 2020"
"1181","SD","TN",266,2.66,"266 days shared in 2020"
"1182","SD","TX",84,0.84,"84 days shared in 2020"
"1183","SD","UT",187,1.87,"187 days shared in 2020"
"1184","SD","VA",49,0.49,"49 days shared in 2020"
"1185","SD","VT",113,1.13,"113 days shared in 2020"
"1186","SD","WA",77,0.77,"77 days shared in 2020"
"1187","SD","WI",113,1.13,"113 days shared in 2020"
"1188","SD","WV",88,0.88,"88 days shared in 2020"
"1189","SD","WY",266,2.66,"266 days shared in 2020"
"1190","TN","TX",84,0.84,"84 days shared in 2020"
"1191","TN","UT",187,1.87,"187 days shared in 2020"
"1192","TN","VA",49,0.49,"49 days shared in 2020"
"1193","TN","VT",113,1.13,"113 days shared in 2020"
"1194","TN","WA",77,0.77,"77 days shared in 2020"
"1195","TN","WI",113,1.13,"113 days shared in 2020"
"1196","TN","WV",88,0.88,"88 days shared in 2020"
"1197","TN","WY",266,2.66,"266 days shared in 2020"
"1198","TX","UT",163,1.63,"163 days shared in 2020"
"1199","TX","VA",231,2.31,"231 days shared in 2020"
"1200","TX","VT",237,2.37,"237 days shared in 2020"
"1201","TX","WA",259,2.59,"259 days shared in 2020"
"1202","TX","WI",237,2.37,"237 days shared in 2020"
"1203","TX","WV",262,2.62,"262 days shared in 2020"
"1204","TX","WY",84,0.84,"84 days shared in 2020"
"1205","UT","VA",128,1.28,"128 days shared in 2020"
"1206","UT","VT",192,1.92,"192 days shared in 2020"
"1207","UT","WA",156,1.56,"156 days shared in 2020"
"1208","UT","WI",192,1.92,"192 days shared in 2020"
"1209","UT","WV",167,1.67,"167 days shared in 2020"
"1210","UT","WY",187,1.87,"187 days shared in 2020"
"1211","VA","VT",202,2.02,"202 days shared in 2020"
"1212","VA","WA",238,2.38,"238 days shared in 2020"
"1213","VA","WI",202,2.02,"202 days shared in 2020"
"1214","VA","WV",227,2.27,"227 days shared in 2020"
"1215","VA","WY",49,0.49,"49 days shared in 2020"
"1216","VT","WA",230,2.3,"230 days shared in 2020"
"1217","VT","WI",266,2.66,"266 days shared in 2020"
"1218","VT","WV",241,2.41,"241 days shared in 2020"
"1219","VT","WY",113,1.13,"113 days shared in 2020"
"1220","WA","WI",230,2.3,"230 days shared in 2020"
"1221","WA","WV",255,2.55,"255 days shared in 2020"
"1222","WA","WY",77,0.77,"77 days shared in 2020"
"1223","WI","WV",241,2.41,"241 days shared in 2020"
"1224","WI","WY",113,1.13,"113 days shared in 2020"
"1225","WV","WY",88,0.88,"88 days shared in 2020"
