"","from","to","mask_mandates_overLap","width","title"
"269","CO","SC",97,0.97,"97 days shared in 2020"
"270","CO","SD",97,0.97,"97 days shared in 2020"
"271","CO","TN",97,0.97,"97 days shared in 2020"
"272","CO","TX",253,2.53,"253 days shared in 2020"
"273","CO","UT",176,1.76,"176 days shared in 2020"
"274","CO","VA",218,2.18,"218 days shared in 2020"
"275","CO","VT",250,2.5,"250 days shared in 2020"
"276","CO","WA",246,2.46,"246 days shared in 2020"
"277","CO","WI",250,2.5,"250 days shared in 2020"
"278","CO","WV",257,2.57,"257 days shared in 2020"
"279","CO","WY",97,0.97,"97 days shared in 2020"
"280","CT","DE",258,2.58,"258 days shared in 2020"
"281","CT","FL",10,0.1,"10 days shared in 2020"
"282","CT","GA",10,0.1,"10 days shared in 2020"
"283","CT","HI",263,2.63,"263 days shared in 2020"
"284","CT","IA",55,0.55,"55 days shared in 2020"
"285","CT","ID",10,0.1,"10 days shared in 2020"
"286","CT","IL",255,2.55,"255 days shared in 2020"
"287","CT","IN",168,1.68,"168 days shared in 2020"
"288","CT","KS",192,1.92,"192 days shared in 2020"
"289","CT","KY",185,1.85,"185 days shared in 2020"
"290","CT","LA",182,1.82,"182 days shared in 2020"
"291","CT","MA",250,2.5,"250 days shared in 2020"
"292","CT","MD",264,2.64,"264 days shared in 2020"
"293","CT","ME",255,2.55,"255 days shared in 2020"
"294","CT","MI",257,2.57,"257 days shared in 2020"
"295","CT","MN",171,1.71,"171 days shared in 2020"
"296","CT","MO",10,0.1,"10 days shared in 2020"
"297","CT","MS",96,0.96,"96 days shared in 2020"
"298","CT","MT",180,1.8,"180 days shared in 2020"
"299","CT","NC",199,1.99,"199 days shared in 2020"
"300","CT","ND",58,0.58,"58 days shared in 2020"
"301","CT","NE",10,0.1,"10 days shared in 2020"
"302","CT","NH",52,0.52,"52 days shared in 2020"
"303","CT","NJ",256,2.56,"256 days shared in 2020"
"304","CT","NM",241,2.41,"241 days shared in 2020"
"305","CT","NV",201,2.01,"201 days shared in 2020"
"306","CT","NY",263,2.63,"263 days shared in 2020"
"307","CT","OH",172,1.72,"172 days shared in 2020"
"308","CT","OK",10,0.1,"10 days shared in 2020"
"309","CT","OR",194,1.94,"194 days shared in 2020"
"310","CT","PA",265,2.65,"265 days shared in 2020"
"311","CT","RI",248,2.48,"248 days shared in 2020"
"312","CT","SC",10,0.1,"10 days shared in 2020"
"313","CT","SD",10,0.1,"10 days shared in 2020"
"314","CT","TN",10,0.1,"10 days shared in 2020"
"315","CT","TX",192,1.92,"192 days shared in 2020"
"316","CT","UT",89,0.89,"89 days shared in 2020"
"317","CT","VA",227,2.27,"227 days shared in 2020"
"318","CT","VT",163,1.63,"163 days shared in 2020"
"319","CT","WA",199,1.99,"199 days shared in 2020"
"320","CT","WI",163,1.63,"163 days shared in 2020"
"321","CT","WV",188,1.88,"188 days shared in 2020"
"322","CT","WY",10,0.1,"10 days shared in 2020"
"323","DE","FL",18,0.18,"18 days shared in 2020"
"324","DE","GA",18,0.18,"18 days shared in 2020"
"325","DE","HI",255,2.55,"255 days shared in 2020"
"326","DE","IA",63,0.63,"63 days shared in 2020"
"327","DE","ID",18,0.18,"18 days shared in 2020"
"328","DE","IL",263,2.63,"263 days shared in 2020"
"329","DE","IN",176,1.76,"176 days shared in 2020"
"330","DE","KS",200,2,"200 days shared in 2020"
"331","DE","KY",193,1.93,"193 days shared in 2020"
"332","DE","LA",190,1.9,"190 days shared in 2020"
"333","DE","MA",258,2.58,"258 days shared in 2020"
"334","DE","MD",256,2.56,"256 days shared in 2020"
"335","DE","ME",263,2.63,"263 days shared in 2020"
"336","DE","MI",261,2.61,"261 days shared in 2020"
"337","DE","MN",179,1.79,"179 days shared in 2020"
"338","DE","MO",18,0.18,"18 days shared in 2020"
"339","DE","MS",104,1.04,"104 days shared in 2020"
"340","DE","MT",188,1.88,"188 days shared in 2020"
"341","DE","NC",207,2.07,"207 days shared in 2020"
"342","DE","ND",66,0.66,"66 days shared in 2020"
"343","DE","NE",18,0.18,"18 days shared in 2020"
"344","DE","NH",60,0.6,"60 days shared in 2020"
"345","DE","NJ",248,2.48,"248 days shared in 2020"
"346","DE","NM",249,2.49,"249 days shared in 2020"
"347","DE","NV",209,2.09,"209 days shared in 2020"
"348","DE","NY",255,2.55,"255 days shared in 2020"
"349","DE","OH",180,1.8,"180 days shared in 2020"
"350","DE","OK",18,0.18,"18 days shared in 2020"
"351","DE","OR",202,2.02,"202 days shared in 2020"
"352","DE","PA",257,2.57,"257 days shared in 2020"
"353","DE","RI",256,2.56,"256 days shared in 2020"
"354","DE","SC",18,0.18,"18 days shared in 2020"
"355","DE","SD",18,0.18,"18 days shared in 2020"
"356","DE","TN",18,0.18,"18 days shared in 2020"
"357","DE","TX",200,2,"200 days shared in 2020"
"358","DE","UT",97,0.97,"97 days shared in 2020"
"359","DE","VA",235,2.35,"235 days shared in 2020"
"360","DE","VT",171,1.71,"171 days shared in 2020"
"361","DE","WA",207,2.07,"207 days shared in 2020"
"362","DE","WI",171,1.71,"171 days shared in 2020"
"363","DE","WV",196,1.96,"196 days shared in 2020"
"364","DE","WY",18,0.18,"18 days shared in 2020"
"365","FL","GA",266,2.66,"266 days shared in 2020"
"366","FL","HI",7,0.07,"7 days shared in 2020"
"367","FL","IA",221,2.21,"221 days shared in 2020"
"368","FL","ID",266,2.66,"266 days shared in 2020"
"369","FL","IL",21,0.21,"21 days shared in 2020"
"370","FL","IN",108,1.08,"108 days shared in 2020"
"371","FL","KS",84,0.84,"84 days shared in 2020"
"372","FL","KY",91,0.91,"91 days shared in 2020"
"373","FL","LA",94,0.94,"94 days shared in 2020"
"374","FL","MA",26,0.26,"26 days shared in 2020"
"375","FL","MD",8,0.08,"8 days shared in 2020"
"376","FL","ME",21,0.21,"21 days shared in 2020"
"377","FL","MI",19,0.19,"19 days shared in 2020"
"378","FL","MN",105,1.05,"105 days shared in 2020"
"379","FL","MO",266,2.66,"266 days shared in 2020"
"380","FL","MS",180,1.8,"180 days shared in 2020"
"381","FL","MT",96,0.96,"96 days shared in 2020"
"382","FL","NC",77,0.77,"77 days shared in 2020"
"383","FL","ND",218,2.18,"218 days shared in 2020"
"384","FL","NE",266,2.66,"266 days shared in 2020"
"385","FL","NH",224,2.24,"224 days shared in 2020"
"386","FL","NJ",0,0,"0 days shared in 2020"
"387","FL","NM",35,0.35,"35 days shared in 2020"
"388","FL","NV",75,0.75,"75 days shared in 2020"
"389","FL","NY",7,0.07,"7 days shared in 2020"
"390","FL","OH",104,1.04,"104 days shared in 2020"
"391","FL","OK",266,2.66,"266 days shared in 2020"
"392","FL","OR",82,0.82,"82 days shared in 2020"
"393","FL","PA",9,0.09,"9 days shared in 2020"
"394","FL","RI",28,0.28,"28 days shared in 2020"
"395","FL","SC",266,2.66,"266 days shared in 2020"
"396","FL","SD",266,2.66,"266 days shared in 2020"
"397","FL","TN",266,2.66,"266 days shared in 2020"
"398","FL","TX",84,0.84,"84 days shared in 2020"
"399","FL","UT",187,1.87,"187 days shared in 2020"
"400","FL","VA",49,0.49,"49 days shared in 2020"
"401","FL","VT",113,1.13,"113 days shared in 2020"
"402","FL","WA",77,0.77,"77 days shared in 2020"
"403","FL","WI",113,1.13,"113 days shared in 2020"
"404","FL","WV",88,0.88,"88 days shared in 2020"
"405","FL","WY",266,2.66,"266 days shared in 2020"
"406","GA","HI",7,0.07,"7 days shared in 2020"
"407","GA","IA",221,2.21,"221 days shared in 2020"
"408","GA","ID",266,2.66,"266 days shared in 2020"
"409","GA","IL",21,0.21,"21 days shared in 2020"
"410","GA","IN",108,1.08,"108 days shared in 2020"
"411","GA","KS",84,0.84,"84 days shared in 2020"
"412","GA","KY",91,0.91,"91 days shared in 2020"
"413","GA","LA",94,0.94,"94 days shared in 2020"
"414","GA","MA",26,0.26,"26 days shared in 2020"
"415","GA","MD",8,0.08,"8 days shared in 2020"
"416","GA","ME",21,0.21,"21 days shared in 2020"
"417","GA","MI",19,0.19,"19 days shared in 2020"
"418","GA","MN",105,1.05,"105 days shared in 2020"
"419","GA","MO",266,2.66,"266 days shared in 2020"
"420","GA","MS",180,1.8,"180 days shared in 2020"
"421","GA","MT",96,0.96,"96 days shared in 2020"
"422","GA","NC",77,0.77,"77 days shared in 2020"
"423","GA","ND",218,2.18,"218 days shared in 2020"
"424","GA","NE",266,2.66,"266 days shared in 2020"
"425","GA","NH",224,2.24,"224 days shared in 2020"
"426","GA","NJ",0,0,"0 days shared in 2020"
"427","GA","NM",35,0.35,"35 days shared in 2020"
"428","GA","NV",75,0.75,"75 days shared in 2020"
"429","GA","NY",7,0.07,"7 days shared in 2020"
"430","GA","OH",104,1.04,"104 days shared in 2020"
"431","GA","OK",266,2.66,"266 days shared in 2020"
"432","GA","OR",82,0.82,"82 days shared in 2020"
"433","GA","PA",9,0.09,"9 days shared in 2020"
"434","GA","RI",28,0.28,"28 days shared in 2020"
"435","GA","SC",266,2.66,"266 days shared in 2020"
"436","GA","SD",266,2.66,"266 days shared in 2020"
"437","GA","TN",266,2.66,"266 days shared in 2020"
"438","GA","TX",84,0.84,"84 days shared in 2020"
"439","GA","UT",187,1.87,"187 days shared in 2020"
"440","GA","VA",49,0.49,"49 days shared in 2020"
"441","GA","VT",113,1.13,"113 days shared in 2020"
"442","GA","WA",77,0.77,"77 days shared in 2020"
"443","GA","WI",113,1.13,"113 days shared in 2020"
"444","GA","WV",88,0.88,"88 days shared in 2020"
"445","GA","WY",266,2.66,"266 days shared in 2020"
"446","HI","IA",52,0.52,"52 days shared in 2020"
"447","HI","ID",7,0.07,"7 days shared in 2020"
"448","HI","IL",252,2.52,"252 days shared in 2020"
"449","HI","IN",165,1.65,"165 days shared in 2020"
"450","HI","KS",189,1.89,"189 days shared in 2020"
"451","HI","KY",182,1.82,"182 days shared in 2020"
"452","HI","LA",179,1.79,"179 days shared in 2020"
"453","HI","MA",247,2.47,"247 days shared in 2020"
"454","HI","MD",265,2.65,"265 days shared in 2020"
"455","HI","ME",252,2.52,"252 days shared in 2020"
"456","HI","MI",254,2.54,"254 days shared in 2020"
"457","HI","MN",168,1.68,"168 days shared in 2020"
"458","HI","MO",7,0.07,"7 days shared in 2020"
"459","HI","MS",93,0.93,"93 days shared in 2020"
"460","HI","MT",177,1.77,"177 days shared in 2020"
"461","HI","NC",196,1.96,"196 days shared in 2020"
"462","HI","ND",55,0.55,"55 days shared in 2020"
"463","HI","NE",7,0.07,"7 days shared in 2020"
"464","HI","NH",49,0.49,"49 days shared in 2020"
"465","HI","NJ",259,2.59,"259 days shared in 2020"
"466","HI","NM",238,2.38,"238 days shared in 2020"
"467","HI","NV",198,1.98,"198 days shared in 2020"
"468","HI","NY",266,2.66,"266 days shared in 2020"
"469","HI","OH",169,1.69,"169 days shared in 2020"
"470","HI","OK",7,0.07,"7 days shared in 2020"
"471","HI","OR",191,1.91,"191 days shared in 2020"
"472","HI","PA",264,2.64,"264 days shared in 2020"
"473","HI","RI",245,2.45,"245 days shared in 2020"
"474","HI","SC",7,0.07,"7 days shared in 2020"
"475","HI","SD",7,0.07,"7 days shared in 2020"
"476","HI","TN",7,0.07,"7 days shared in 2020"
"477","HI","TX",189,1.89,"189 days shared in 2020"
"478","HI","UT",86,0.86,"86 days shared in 2020"
"479","HI","VA",224,2.24,"224 days shared in 2020"
"480","HI","VT",160,1.6,"160 days shared in 2020"
"481","HI","WA",196,1.96,"196 days shared in 2020"
"482","HI","WI",160,1.6,"160 days shared in 2020"
"483","HI","WV",185,1.85,"185 days shared in 2020"
"484","HI","WY",7,0.07,"7 days shared in 2020"
"485","IA","ID",221,2.21,"221 days shared in 2020"
"486","IA","IL",66,0.66,"66 days shared in 2020"
"487","IA","IN",153,1.53,"153 days shared in 2020"
"488","IA","KS",129,1.29,"129 days shared in 2020"
"489","IA","KY",136,1.36,"136 days shared in 2020"
"490","IA","LA",139,1.39,"139 days shared in 2020"
"491","IA","MA",71,0.71,"71 days shared in 2020"
"492","IA","MD",53,0.53,"53 days shared in 2020"
"493","IA","ME",66,0.66,"66 days shared in 2020"
"494","IA","MI",64,0.64,"64 days shared in 2020"
"495","IA","MN",150,1.5,"150 days shared in 2020"
"496","IA","MO",221,2.21,"221 days shared in 2020"
"497","IA","MS",195,1.95,"195 days shared in 2020"
"498","IA","MT",141,1.41,"141 days shared in 2020"
"499","IA","NC",122,1.22,"122 days shared in 2020"
"500","IA","ND",263,2.63,"263 days shared in 2020"
"501","IA","NE",221,2.21,"221 days shared in 2020"
"502","IA","NH",263,2.63,"263 days shared in 2020"
"503","IA","NJ",45,0.45,"45 days shared in 2020"
"504","IA","NM",80,0.8,"80 days shared in 2020"
"505","IA","NV",120,1.2,"120 days shared in 2020"
"506","IA","NY",52,0.52,"52 days shared in 2020"
"507","IA","OH",149,1.49,"149 days shared in 2020"
"508","IA","OK",221,2.21,"221 days shared in 2020"
"509","IA","OR",127,1.27,"127 days shared in 2020"
"510","IA","PA",54,0.54,"54 days shared in 2020"
"511","IA","RI",73,0.73,"73 days shared in 2020"
"512","IA","SC",221,2.21,"221 days shared in 2020"
"513","IA","SD",221,2.21,"221 days shared in 2020"
"514","IA","TN",221,2.21,"221 days shared in 2020"
