"","from","to","gathering_bans_overLap","width","title"
"228","CA","TX",113,1.13,"113 days shared in 2020"
"229","CA","UT",49,0.49,"49 days shared in 2020"
"230","CA","VA",4,0.04,"4 days shared in 2020"
"231","CA","VT",23,0.23,"23 days shared in 2020"
"232","CA","WA",23,0.23,"23 days shared in 2020"
"233","CA","WI",182,1.82,"182 days shared in 2020"
"234","CA","WV",13,0.13,"13 days shared in 2020"
"235","CA","WY",9,0.09,"9 days shared in 2020"
"236","CO","CT",74,0.74,"74 days shared in 2020"
"237","CO","DE",76,0.76,"76 days shared in 2020"
"238","CO","FL",40,0.4,"40 days shared in 2020"
"239","CO","GA",60,0.6,"60 days shared in 2020"
"240","CO","HI",208,2.08,"208 days shared in 2020"
"241","CO","IA",69,0.69,"69 days shared in 2020"
"242","CO","ID",62,0.62,"62 days shared in 2020"
"243","CO","IL",89,0.89,"89 days shared in 2020"
"244","CO","IN",53,0.53,"53 days shared in 2020"
"245","CO","KS",32,0.32,"32 days shared in 2020"
"246","CO","KY",215,2.15,"215 days shared in 2020"
"247","CO","LA",23,0.23,"23 days shared in 2020"
"248","CO","MA",96,0.96,"96 days shared in 2020"
"249","CO","MD",53,0.53,"53 days shared in 2020"
"250","CO","ME",49,0.49,"49 days shared in 2020"
"251","CO","MI",127,1.27,"127 days shared in 2020"
"252","CO","MN",215,2.15,"215 days shared in 2020"
"253","CO","MO",18,0.18,"18 days shared in 2020"
"254","CO","MS",80,0.8,"80 days shared in 2020"
"255","CO","MT",40,0.4,"40 days shared in 2020"
"256","CO","NC",166,1.66,"166 days shared in 2020"
"257","CO","ND",8,0.08,"8 days shared in 2020"
"258","CO","NE",177,1.77,"177 days shared in 2020"
"259","CO","NH",61,0.61,"61 days shared in 2020"
"260","CO","NJ",57,0.57,"57 days shared in 2020"
"261","CO","NM",233,2.33,"233 days shared in 2020"
"262","CO","NV",79,0.79,"79 days shared in 2020"
"263","CO","NY",57,0.57,"57 days shared in 2020"
"264","CO","OH",225,2.25,"225 days shared in 2020"
"265","CO","OK",10,0.1,"10 days shared in 2020"
"266","CO","OR",40,0.4,"40 days shared in 2020"
"267","CO","PA",40,0.4,"40 days shared in 2020"
"268","CO","RI",95,0.95,"95 days shared in 2020"
"269","CO","SC",8,0.08,"8 days shared in 2020"
"270","CO","SD",8,0.08,"8 days shared in 2020"
"271","CO","TN",36,0.36,"36 days shared in 2020"
"272","CO","TX",163,1.63,"163 days shared in 2020"
"273","CO","UT",53,0.53,"53 days shared in 2020"
"274","CO","VA",45,0.45,"45 days shared in 2020"
"275","CO","VT",45,0.45,"45 days shared in 2020"
"276","CO","WA",228,2.28,"228 days shared in 2020"
"277","CO","WI",44,0.44,"44 days shared in 2020"
"278","CO","WV",42,0.42,"42 days shared in 2020"
"279","CO","WY",33,0.33,"33 days shared in 2020"
"280","CT","DE",124,1.24,"124 days shared in 2020"
"281","CT","FL",33,0.33,"33 days shared in 2020"
"282","CT","GA",83,0.83,"83 days shared in 2020"
"283","CT","HI",84,0.84,"84 days shared in 2020"
"284","CT","IA",61,0.61,"61 days shared in 2020"
"285","CT","ID",57,0.57,"57 days shared in 2020"
"286","CT","IL",132,1.32,"132 days shared in 2020"
"287","CT","IN",68,0.68,"68 days shared in 2020"
"288","CT","KS",66,0.66,"66 days shared in 2020"
"289","CT","KY",27,0.27,"27 days shared in 2020"
"290","CT","LA",54,0.54,"54 days shared in 2020"
"291","CT","MA",179,1.79,"179 days shared in 2020"
"292","CT","MD",83,0.83,"83 days shared in 2020"
"293","CT","ME",90,0.9,"90 days shared in 2020"
"294","CT","MI",94,0.94,"94 days shared in 2020"
"295","CT","MN",78,0.78,"78 days shared in 2020"
"296","CT","MO",40,0.4,"40 days shared in 2020"
"297","CT","MS",108,1.08,"108 days shared in 2020"
"298","CT","MT",3,0.03,"3 days shared in 2020"
"299","CT","NC",115,1.15,"115 days shared in 2020"
"300","CT","ND",1,0.01,"1 days shared in 2020"
"301","CT","NE",78,0.78,"78 days shared in 2020"
"302","CT","NH",83,0.83,"83 days shared in 2020"
"303","CT","NJ",119,1.19,"119 days shared in 2020"
"304","CT","NM",84,0.84,"84 days shared in 2020"
"305","CT","NV",82,0.82,"82 days shared in 2020"
"306","CT","NY",45,0.45,"45 days shared in 2020"
"307","CT","OH",90,0.9,"90 days shared in 2020"
"308","CT","OK",30,0.3,"30 days shared in 2020"
"309","CT","OR",32,0.32,"32 days shared in 2020"
"310","CT","PA",87,0.87,"87 days shared in 2020"
"311","CT","RI",224,2.24,"224 days shared in 2020"
"312","CT","SC",1,0.01,"1 days shared in 2020"
"313","CT","SD",1,0.01,"1 days shared in 2020"
"314","CT","TN",58,0.58,"58 days shared in 2020"
"315","CT","TX",1,0.01,"1 days shared in 2020"
"316","CT","UT",2,0.02,"2 days shared in 2020"
"317","CT","VA",72,0.72,"72 days shared in 2020"
"318","CT","VT",210,2.1,"210 days shared in 2020"
"319","CT","WA",74,0.74,"74 days shared in 2020"
"320","CT","WI",1,0.01,"1 days shared in 2020"
